f,t,e
0.778,12.671560483261208,0.9260952008773911
0.78,12.61842301800592,0.9255574878840036
0.782,12.565678777528328,0.9250351059453018
0.784,12.521233558003281,0.9246300701280724
0.786,12.464865829244749,0.9240822082626419
0.788,12.412977144207403,0.9236021156827606
0.79,12.356138236565748,0.9230734415029723
0.792,12.30498068031635,0.922623824227695
0.794,12.25803591326289,0.9222367535925703
0.796,12.20979296684148,0.9218418047189719
0.798,12.164209125554011,0.9214894704558272
0.8,12.109200381934542,0.9210228167154184
0.802,12.055866587720367,0.9205840090804635
0.804,11.941812809319336,0.9193859943461259
0.806,11.506127764908761,0.9137449647664463
0.808,11.467142419400924,0.9134999797471214
0.81,11.421315623869724,0.9131743853009495
0.812,11.386503688855262,0.9129883341530037
0.814,11.350866802792174,0.9127931324466474
0.816,11.306727563353748,0.9124968836318165
0.818,11.267611721128937,0.9122675642135923
0.82,11.225018805758575,0.911996968147302
0.822,11.185625199455814,0.9117657610245656
0.824,11.140373581024159,0.9114660516478779
0.826,11.102567560784204,0.9112637426132287
0.828,11.065486750575273,0.9110742650033636
0.83,11.027838647556491,0.9108809614198865
0.832,10.991263114825971,0.9107070910980235
0.834,10.960677933317385,0.9106085509660483
0.836,10.919391461308576,0.9103825552428019
0.838,10.887889119568523,0.9102839405243103
0.84,10.854009253041475,0.910158181675844
0.842,10.824194649026282,0.9100900661380387
0.844,10.793237595695194,0.9100100203367996
0.846,10.773091277031325,0.9100670270282799
0.848,10.746544722619213,0.9100458807039135
0.85,10.71897199212044,0.9100139820310876
0.852,10.687434341350855,0.909936150003871
0.854,10.663436258555725,0.9099471209388692
0.856,10.638224427392757,0.9099409836696639
0.858,10.6083458137796,0.9098750316376901
0.86,10.584799645833815,0.909878304038968
0.862,10.558240702969144,0.9098361523010031
0.864,10.542629042592527,0.9099106312175415
0.866,10.512473696585136,0.9098134028200638
0.868,10.494848282732956,0.9098549146649215
0.87,10.472922983858403,0.9098323259118101
0.872,10.4500581287551,0.909789942121011
0.874,10.426424159407782,0.9097279015546555
0.876,10.405716738481384,0.909692505992221
0.878,10.392786309105707,0.9097474204876974
0.88,10.369753724201635,0.9096712098506811
0.882,10.35450318399766,0.9096874948903266
0.884,10.341180816937964,0.9097234049999989
0.886,10.328980267481644,0.9097691384031411
0.888,10.309987857767288,0.9097301268183065
0.89,10.295432505879404,0.9097455639612206
0.892,10.288766149954467,0.9098589865032357
0.894,10.273949915906561,0.9098725230766931
0.896,10.263612778080166,0.9099441043993939
