freq,t
1.710E9,10.783
1.712E9,10.737
1.714E9,10.717
1.716E9,10.722
1.718E9,10.752
1.720E9,10.808
1.722E9,10.777
1.724E9,10.723
1.726E9,10.696
1.728E9,10.696
1.730E9,10.724
1.732E9,10.778
1.734E9,10.773
1.736E9,10.709
1.738E9,10.675
1.740E9,10.670
1.742E9,10.694
1.744E9,10.748
1.746E9,10.772
1.748E9,10.698
1.750E9,10.656
1.752E9,10.645
1.754E9,10.665
1.756E9,10.716
1.758E9,10.774
1.760E9,10.692
1.762E9,10.643
1.764E9,10.625
1.766E9,10.640
1.768E9,10.687
1.770E9,10.765
1.772E9,10.691
1.774E9,10.636
1.776E9,10.613
1.778E9,10.622
1.780E9,10.662
1.782E9,10.733
1.784E9,10.694
1.786E9,10.638
1.788E9,10.611
1.790E9,10.613
1.792E9,10.645
1.794E9,10.706
1.796E9,10.700
1.798E9,10.646
1.800E9,10.618
1.802E9,10.615
1.804E9,10.637
1.806E9,10.685
1.808E9,10.705
1.810E9,10.657
1.812E9,10.630
1.814E9,10.624
1.816E9,10.638
1.818E9,10.672
1.820E9,10.707
1.822E9,10.668
1.824E9,10.644
1.826E9,10.636
1.828E9,10.643
1.830E9,10.666
1.832E9,10.704
1.834E9,10.674
1.836E9,10.655
1.838E9,10.646
1.840E9,10.649
1.842E9,10.663
1.844E9,10.689
1.846E9,10.677
1.848E9,10.662
1.850E9,10.655
1.852E9,10.655
1.854E9,10.663
1.856E9,10.679
1.858E9,10.678
1.860E9,10.667
1.862E9,10.661
1.864E9,10.660
1.866E9,10.664
1.868E9,10.673
1.870E9,10.677
1.872E9,10.670
1.874E9,10.666
1.876E9,10.665
1.878E9,10.667
1.880E9,10.672
1.882E9,10.676
1.884E9,10.673
1.886E9,10.671
1.888E9,10.670
1.890E9,10.671
1.892E9,10.673
1.894E9,10.677
1.896E9,10.676
1.898E9,10.676
1.900E9,10.677
1.902E9,10.677
1.904E9,10.677
1.906E9,10.678
1.908E9,10.681
1.910E9,10.683
1.912E9,10.684
1.914E9,10.685
1.916E9,10.684
1.918E9,10.683
1.920E9,10.686
1.922E9,10.691
1.924E9,10.693
1.926E9,10.695
1.928E9,10.694
1.930E9,10.692
1.932E9,10.694
1.934E9,10.700
1.936E9,10.705
1.938E9,10.707
1.940E9,10.706
1.942E9,10.704
1.944E9,10.704
1.946E9,10.712
1.948E9,10.718
1.950E9,10.721
1.952E9,10.722
1.954E9,10.720
1.956E9,10.717
1.958E9,10.727
1.960E9,10.734
1.962E9,10.738
1.964E9,10.740
1.966E9,10.738
1.968E9,10.734
1.970E9,10.744
1.972E9,10.753
1.974E9,10.758
1.976E9,10.761
1.978E9,10.760
1.980E9,10.756
1.982E9,10.764
1.984E9,10.774
1.986E9,10.781
1.988E9,10.785
1.990E9,10.785
1.992E9,10.783
1.994E9,10.788
1.996E9,10.799
1.998E9,10.808
2.000E9,10.812
2.002E9,10.814
2.004E9,10.812
2.006E9,10.815
2.008E9,10.828
2.010E9,10.837
2.012E9,10.843
2.014E9,10.846
2.016E9,10.846
2.018E9,10.846
2.020E9,10.860
2.022E9,10.871
2.024E9,10.878
2.026E9,10.882
2.028E9,10.883
2.030E9,10.880
2.032E9,10.896
2.034E9,10.908
2.036E9,10.916
2.038E9,10.922
2.040E9,10.924
2.042E9,10.923
2.044E9,10.935
2.046E9,10.948
2.048E9,10.958
2.050E9,10.965
2.052E9,10.968
2.054E9,10.968
2.056E9,10.978
2.058E9,10.993
2.060E9,11.004
2.062E9,11.012
2.064E9,11.017
2.066E9,11.018
2.068E9,11.025
2.070E9,11.041
2.072E9,11.053
2.074E9,11.063
2.076E9,11.069
2.078E9,11.071
2.080E9,11.076
2.082E9,11.093
2.084E9,11.106
2.086E9,11.117
2.088E9,11.124
2.090E9,11.129
2.092E9,11.131
2.094E9,11.149
2.096E9,11.163
2.098E9,11.175
2.100E9,11.184
