freq,s11,s21,s12,s22
1.580E9,-13.774,38.037,-54.599,-31.378
1.582E9,-13.822,38.034,-54.571,-31.327
1.584E9,-13.872,38.031,-54.543,-31.277
1.586E9,-13.913,38.028,-54.515,-31.231
1.588E9,-13.954,38.026,-54.487,-31.186
1.590E9,-13.997,38.023,-54.458,-31.141
1.592E9,-14.042,38.021,-54.431,-31.095
1.594E9,-14.090,38.018,-54.403,-31.048
1.596E9,-14.140,38.015,-54.375,-31.001
1.598E9,-14.184,38.012,-54.348,-30.958
1.600E9,-14.223,38.009,-54.319,-30.918
1.602E9,-14.266,38.007,-54.292,-30.877
1.604E9,-14.310,38.004,-54.264,-30.835
1.606E9,-14.358,38.001,-54.237,-30.792
1.608E9,-14.407,37.998,-54.209,-30.748
1.610E9,-14.454,37.995,-54.182,-30.707
1.612E9,-14.492,37.992,-54.154,-30.672
1.614E9,-14.534,37.989,-54.126,-30.635
1.616E9,-14.578,37.986,-54.099,-30.597
1.618E9,-14.624,37.983,-54.072,-30.558
1.620E9,-14.674,37.980,-54.045,-30.518
1.622E9,-14.722,37.976,-54.018,-30.479
1.624E9,-14.759,37.974,-53.990,-30.448
1.626E9,-14.799,37.971,-53.963,-30.416
1.628E9,-14.842,37.968,-53.936,-30.383
1.630E9,-14.888,37.965,-53.909,-30.348
1.632E9,-14.936,37.961,-53.882,-30.312
1.634E9,-14.987,37.958,-53.856,-30.274
1.636E9,-15.022,37.955,-53.828,-30.248
1.638E9,-15.060,37.952,-53.801,-30.221
1.640E9,-15.102,37.949,-53.774,-30.192
1.642E9,-15.146,37.946,-53.747,-30.161
1.644E9,-15.193,37.942,-53.721,-30.129
1.646E9,-15.243,37.938,-53.695,-30.095
1.648E9,-15.279,37.936,-53.668,-30.072
1.650E9,-15.315,37.933,-53.641,-30.049
1.652E9,-15.354,37.929,-53.614,-30.025
1.654E9,-15.396,37.926,-53.587,-29.999
1.656E9,-15.442,37.922,-53.561,-29.971
1.658E9,-15.491,37.919,-53.535,-29.941
1.660E9,-15.528,37.915,-53.509,-29.920
1.662E9,-15.561,37.912,-53.482,-29.902
1.664E9,-15.597,37.909,-53.455,-29.882
1.666E9,-15.637,37.906,-53.429,-29.861
1.668E9,-15.680,37.902,-53.403,-29.838
1.670E9,-15.727,37.898,-53.377,-29.813
1.672E9,-15.766,37.894,-53.351,-29.793
1.674E9,-15.795,37.891,-53.325,-29.780
1.676E9,-15.828,37.888,-53.298,-29.765
1.678E9,-15.864,37.885,-53.272,-29.748
1.680E9,-15.905,37.881,-53.246,-29.730
1.682E9,-15.949,37.877,-53.221,-29.710
1.684E9,-15.991,37.873,-53.195,-29.691
1.686E9,-16.015,37.870,-53.169,-29.684
