freq,s11,s21,s12,s22
1.158E9,-7.685,39.023,-54.494,-21.500
1.160E9,-7.700,39.026,-54.335,-21.471
1.162E9,-7.711,39.029,-54.877,-21.393
1.164E9,-7.717,39.035,-55.080,-21.353
1.166E9,-7.727,39.038,-55.270,-21.312
1.168E9,-7.740,39.041,-55.179,-21.265
1.170E9,-7.751,39.047,-54.807,-21.275
1.172E9,-7.758,39.049,-55.164,-21.213
1.174E9,-7.782,39.054,-54.286,-21.273
1.176E9,-7.787,39.056,-54.475,-21.208
1.178E9,-7.806,39.059,-54.403,-21.188
1.180E9,-7.813,39.064,-53.754,-21.187
1.182E9,-7.819,39.067,-53.632,-21.145
1.184E9,-7.848,39.071,-54.631,-21.061
1.186E9,-7.861,39.075,-54.492,-21.054
1.188E9,-7.881,39.077,-54.458,-21.021
1.190E9,-7.895,39.081,-54.439,-20.988
1.192E9,-7.914,39.084,-54.558,-20.964
1.194E9,-7.931,39.088,-54.316,-20.897
1.196E9,-7.931,39.091,-53.163,-20.927
1.198E9,-7.954,39.096,-53.544,-20.860
1.200E9,-7.990,39.099,-54.200,-20.798
1.202E9,-7.987,39.103,-53.428,-20.837
1.204E9,-8.020,39.104,-53.967,-20.757
1.206E9,-8.033,39.108,-53.852,-20.740
1.208E9,-8.058,39.113,-53.620,-20.705
1.210E9,-8.065,39.116,-53.651,-20.686
1.212E9,-8.094,39.118,-54.161,-20.605
1.214E9,-8.114,39.121,-54.057,-20.583
1.216E9,-8.141,39.124,-54.022,-20.533
1.218E9,-8.160,39.129,-53.431,-20.522
1.220E9,-8.183,39.133,-53.507,-20.483
1.222E9,-8.207,39.134,-53.587,-20.447
1.224E9,-8.229,39.137,-53.326,-20.405
1.226E9,-8.252,39.141,-53.852,-20.359
1.228E9,-8.281,39.143,-53.641,-20.311
1.230E9,-8.297,39.144,-53.903,-20.234
1.232E9,-8.333,39.150,-53.344,-20.239
1.234E9,-8.356,39.152,-53.280,-20.245
1.236E9,-8.378,39.155,-53.082,-20.197
1.238E9,-8.409,39.157,-52.744,-20.179
1.240E9,-8.425,39.160,-53.471,-20.099
1.242E9,-8.458,39.161,-52.914,-20.119
1.244E9,-8.487,39.165,-53.094,-20.041
1.246E9,-8.520,39.166,-53.043,-19.969
1.248E9,-8.539,39.170,-53.548,-19.887
1.250E9,-8.578,39.172,-52.671,-19.914
1.252E9,-8.604,39.174,-53.055,-19.907
1.254E9,-8.637,39.176,-53.042,-19.824
1.256E9,-8.666,39.178,-52.940,-19.750
1.258E9,-8.698,39.181,-53.330,-19.748
1.260E9,-8.727,39.182,-52.509,-19.672
1.262E9,-8.774,39.186,-53.145,-19.792
1.264E9,-8.797,39.188,-52.641,-19.647
1.266E9,-8.828,39.190,-52.333,-19.582
1.268E9,-8.856,39.191,-52.629,-19.509
1.270E9,-8.894,39.193,-52.782,-19.489
1.272E9,-8.933,39.194,-52.518,-19.493
1.274E9,-8.963,39.195,-52.194,-19.395
1.276E9,-8.994,39.198,-52.432,-19.353
1.278E9,-9.035,39.198,-52.567,-19.283
1.280E9,-9.077,39.199,-52.609,-19.301
1.282E9,-9.111,39.201,-52.664,-19.246
1.284E9,-9.153,39.203,-52.416,-19.178
1.286E9,-9.181,39.205,-52.150,-19.122
1.288E9,-9.217,39.205,-52.127,-19.082
1.290E9,-9.263,39.205,-52.315,-19.049
1.292E9,-9.273,39.207,-51.454,-18.954
1.294E9,-9.331,39.207,-52.185,-18.952
1.296E9,-9.385,39.208,-52.373,-18.924
1.298E9,-9.417,39.207,-51.802,-18.869
1.300E9,-9.462,39.208,-52.005,-18.802
1.302E9,-9.506,39.210,-52.599,-18.776
1.304E9,-9.559,39.209,-52.475,-18.733
1.306E9,-9.599,39.209,-52.011,-18.696
1.308E9,-9.650,39.209,-52.005,-18.634
1.310E9,-9.683,39.209,-51.783,-18.613
1.312E9,-9.726,39.210,-52.083,-18.536
1.314E9,-9.769,39.209,-51.962,-18.500
1.316E9,-9.810,39.209,-52.322,-18.431
1.318E9,-9.868,39.210,-51.831,-18.405
1.320E9,-9.913,39.209,-51.904,-18.367
1.322E9,-9.953,39.209,-52.082,-18.299
1.324E9,-10.002,39.207,-52.177,-18.235
1.326E9,-10.050,39.207,-51.994,-18.197
1.328E9,-10.103,39.206,-51.567,-18.166
1.330E9,-10.146,39.205,-52.116,-18.125
1.332E9,-10.200,39.205,-51.816,-18.090
1.334E9,-10.250,39.203,-51.687,-18.017
1.336E9,-10.302,39.202,-51.601,-17.977
1.338E9,-10.352,39.201,-51.769,-17.916
