f,t,e
0.722,17.362770126471357,0.9819825356304903
0.724,17.259610861777222,0.9797411779213823
0.726,17.156030231029703,0.9775338478463309
0.728,17.04980230407335,0.9753216911734246
0.73,16.95069860627415,0.9732320494707336
0.732,16.85767546489422,0.9712644926003275
0.734,16.752828575880084,0.9691782374069906
0.736,16.64671502942096,0.9671013724538072
0.738,16.549470045273875,0.9651765508339186
0.74,16.451550395680453,0.9632819475436155
0.742,16.34682292087494,0.9613356921838629
0.744,16.260138532234787,0.9596664325169636
0.746,16.16977969195076,0.9579807748725632
0.748,16.085717304817347,0.9564046984048643
0.75,15.992993798757887,0.9547490631893202
0.752,15.900209294033932,0.9531203174797216
0.754,15.816615819645287,0.9516373672111835
0.756,15.728158997153013,0.9501185818228591
0.758,15.639539815737864,0.9486139042620397
0.76,15.562383500944506,0.9472804651389058
0.762,15.48426380224172,0.9459581134497288
0.764,15.39808316493055,0.9445651330830973
0.766,15.31880848245569,0.9432877980200377
0.768,15.238731618675834,0.9420313343856258
0.77,15.161575889511067,0.9408421833209674
0.772,15.067542178544153,0.9394677196009464
0.774,14.980994818965872,0.9382215525626953
0.776,14.875516724598793,0.9367642905015355
0.778,14.752551650154885,0.9351039988233322
0.78,14.630760871646055,0.9334781723907025
0.782,14.5187798773479,0.9319929380781535
0.784,14.424071420528087,0.9307460467351767
0.786,14.332934816276417,0.929561968465686
0.788,14.245078894591458,0.9284467731748235
0.79,14.16887103213949,0.9275060958614116
0.792,14.086449605951268,0.9265115094847592
0.794,13.999409182636262,0.9254836875994275
0.796,13.923681534080913,0.9246244252038953
0.798,13.838827182153743,0.923675822693113
0.8,13.760088946020419,0.922828750609223
0.802,13.678716227032014,0.9219741011713047
0.804,13.609310257822735,0.9212920672502258
0.806,13.530019818387089,0.9205087213558301
0.808,13.457003997406412,0.9198242611165567
0.81,13.390931772760048,0.919250391924513
0.812,13.312518873230745,0.9185418597518105
0.814,13.231915863453132,0.9178275111875047
0.816,13.158058868388409,0.917216035230556
0.818,13.084495514753023,0.9166286198344141
0.82,13.016377868364335,0.9161256949798218
0.822,12.946524300337334,0.9156200186343046
0.824,12.876823719000281,0.9151323026949295
0.826,12.805652313625934,0.9146444858836918
0.828,12.733551227122357,0.9141602932934123
0.83,12.671156702282408,0.9138128357549835
0.832,12.604371723770981,0.9134295063883779
0.834,12.539091688536944,0.913080591428404
0.836,12.474822089554998,0.912758965304612
0.838,12.40814855339593,0.9124243186435289
0.84,12.347570004937051,0.9121789995652421
0.842,12.29177800681183,0.9120115830172838
0.844,12.23685714457109,0.9118660356469254
0.846,12.183666609817816,0.9117566999610797
0.848,12.128584974011932,0.9116386139428323
0.85,12.074611288180325,0.9115430697060892
0.852,12.01523160345058,0.911392728351954
0.854,11.969198303890328,0.911420465688295
0.856,11.920853958880855,0.911428038014047
0.858,11.868611028237929,0.9113980489735897
0.86,11.810359514898987,0.9112974669958985
0.862,11.758813828624417,0.9112840035754136
0.864,11.709548209503119,0.9113055083392767
0.866,11.658494641091808,0.911310777675247
0.868,11.613635392707804,0.9113941735019965
0.87,11.570122526689792,0.9114964781694694
0.872,11.52994029864724,0.9116398309341107
0.874,11.482661755846365,0.911701632534553
0.876,11.431629389395965,0.9117173411441817
0.878,11.383268657097801,0.9117698378059117
0.88,11.33972571341765,0.911886233432686
0.882,11.296162496061365,0.9120131442075198
0.884,11.250325740184248,0.9121149250650917
0.886,11.2104362532212,0.912296675050777
0.888,11.16661866004176,0.9124409367497006
0.89,11.12567045599957,0.9126277663210208
0.892,11.081300869873152,0.9127846177183142
0.894,11.044387648445344,0.9130346678338163
0.896,11.007422246952533,0.9132998800090651
0.898,10.971736137235952,0.9135883841235478
0.9,10.926107280662597,0.9137710969983666
0.902,10.88266671726796,0.913983694869979
0.904,10.846772861284858,0.9143013654158165
