freq,noise
1.934,11.302000000000001
1.936,11.31
1.938,11.316
1.94,11.32
1.942,11.321000000000002
1.944,11.325000000000001
1.946,11.338000000000001
1.948,11.348
1.95,11.355
1.952,11.360000000000001
1.954,11.362
1.956,11.364
1.958,11.379000000000001
1.96,11.39
1.962,11.399000000000001
1.964,11.406
1.966,11.409
1.968,11.409
1.97,11.425
1.972,11.438
1.974,11.449
1.976,11.457
1.978,11.461
1.98,11.463000000000001
1.982,11.476
1.984,11.492
1.986,11.504000000000001
1.988,11.513
1.99,11.519
1.992,11.522
1.994,11.533000000000001
1.996,11.551
1.998,11.565000000000001
2.0,11.575000000000001
2.002,11.583
2.004,11.587000000000002
2.006,11.596
2.008,11.615
2.01,11.631
2.012,11.643
2.014,11.653
2.016,11.658000000000001
2.018,11.665000000000001
2.02,11.686
2.022,11.703000000000001
2.024,11.717
2.026,11.728000000000002
2.028,11.736
2.03,11.74
2.032,11.762
2.034,11.781
2.036,11.797
2.038,11.809000000000001
2.04,11.818000000000001
2.042,11.824
2.044,11.844000000000001
2.046,11.865
2.048,11.882000000000001
2.05,11.896
2.052,11.907
2.054,11.915000000000001
2.056,11.932
2.058,11.955
2.06,11.974
2.062,11.989
2.064,12.002
2.066,12.011000000000001
2.068,12.026000000000002
2.07,12.05
2.072,12.071000000000002
2.074,12.088000000000001
2.076,12.102
2.078,12.113000000000001
2.08,12.126000000000001
2.082,12.151000000000002
2.084,12.173
2.086,12.192
2.088,12.208
2.09,12.221
2.092,12.232000000000001
2.094,12.258000000000001
2.096,12.282
2.098,12.302000000000001
2.1,12.32
